"","shenduxuexidata.belong","shenduxuexidata.X","shenduxuexidata.name","shenduxuexidata.location","shenduxuexidata.salary","shenduxuexidata.require","shenduxuexidata.time","shenduxuexidata.company","shenduxuexidata.companysituation","shenduxuexidata.companyintro","shenduxuexidata.tags","jiqixuexidata.belong","jiqixuexidata.X","jiqixuexidata.name","jiqixuexidata.location","jiqixuexidata.salary","jiqixuexidata.require","jiqixuexidata.time","jiqixuexidata.company","jiqixuexidata.companysituation","jiqixuexidata.companyintro","jiqixuexidata.tags","tuxiangchulidata.belong","tuxiangchulidata.X","tuxiangchulidata.name","tuxiangchulidata.location","tuxiangchulidata.salary","tuxiangchulidata.require","tuxiangchulidata.time","tuxiangchulidata.company","tuxiangchulidata.companysituation","tuxiangchulidata.companyintro","tuxiangchulidata.tags","tuxiangshibiedata.belong","tuxiangshibiedata.X","tuxiangshibiedata.name","tuxiangshibiedata.location","tuxiangshibiedata.salary","tuxiangshibiedata.require","tuxiangshibiedata.time","tuxiangshibiedata.company","tuxiangshibiedata.companysituation","tuxiangshibiedata.companyintro","tuxiangshibiedata.tags","yuyinshibiedata.belong","yuyinshibiedata.X","yuyinshibiedata.name","yuyinshibiedata.location","yuyinshibiedata.salary","yuyinshibiedata.require","yuyinshibiedata.time","yuyinshibiedata.company","yuyinshibiedata.companysituation","yuyinshibiedata.companyintro","yuyinshibiedata.tags","jiqishijuedata.belong","jiqishijuedata.X","jiqishijuedata.name","jiqishijuedata.location","jiqishijuedata.salary","jiqishijuedata.require","jiqishijuedata.time","jiqishijuedata.company","jiqishijuedata.companysituation","jiqishijuedata.companyintro","jiqishijuedata.tags","suanfagongchengshidata.belong","suanfagongchengshidata.X","suanfagongchengshidata.name","suanfagongchengshidata.location","suanfagongchengshidata.salary","suanfagongchengshidata.require","suanfagongchengshidata.time","suanfagongchengshidata.company","suanfagongchengshidata.companysituation","suanfagongchengshidata.companyintro","suanfagongchengshidata.tags","ziranyuyanchulidata.belong","ziranyuyanchulidata.X","ziranyuyanchulidata.name","ziranyuyanchulidata.location","ziranyuyanchulidata.salary","ziranyuyanchulidata.require","ziranyuyanchulidata.time","ziranyuyanchulidata.company","ziranyuyanchulidata.companysituation","ziranyuyanchulidata.companyintro","ziranyuyanchulidata.tags"
"1","shenduxuexidata",1,"深度学习算法工程师","深圳·宝安区","25k-50k","经验1-3年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“扁平化，发展快，千万日活”","/NLP/图像处理/","jiqixuexidata",1,"搜索算法-机器学习方向","上海·长宁区","30k-60k","经验3-5年/硕士","1天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“拼多多”","/电商/","tuxiangchulidata",1,"图像处理工程师","深圳·上梅林","40k-60k","经验5-10年/不限","1天前发布","vivo","移动互联网/未融资/2000人以上","“千万级用户、股票激励、福利待遇好”","/通信/网络设备/","tuxiangshibiedata",1,"暑期实习生-算法工程师--图像识别(J10176)","上海·闵行区","4k-6k","经验应届毕业生/本科","10:13发布","哈啰出行","移动互联网,硬件/D轮及以上/2000人以上","“转正留用机会，互联网，出行”","/人工智能/图像处理/","yuyinshibiedata",1,"语音识别与多轮交互算法工程师","北京·西北旺","15k-25k","经验应届毕业生/硕士","20:08发布","Aibee","移动互联网,企业服务/A轮/150-500人","“股权激励,顶尖团队”","/人工智能/","jiqishijuedata",1,"深度学习/机器视觉/图像算法工程师","杭州·西兴","10k-20k","经验不限/硕士","14:26发布","很赞科技","游戏/未融资/50-150人","“双休法定假日 五险一金 节日福利”","/图像处理/机器学习/模式识别/","suanfagongchengshidata",1,"推荐算法专家","北京·东四","30k-50k","经验3-5年/硕士","1天前发布","Keep","社交网络,文化娱乐/D轮及以上/500-2000人","“年底多薪,七险一金,三餐+零食,周末双休”","/机器学习/搜索/深度学习/","ziranyuyanchulidata",1,"NLP","北京·海淀区","40k-80k","经验5-10年/硕士","16:21发布","联想集团","移动互联网,数据服务/上市公司/2000人以上","“联想正式编制、饭补”","/人工智能/机器学习/算法/"
"2","shenduxuexidata",2,"机器学习","北京·酒仙桥","20k-35k","经验应届毕业生/本科","16:48发布","武汉朝城","移动互联网/未融资/50-150人","“全额六险一金，如果周末加班双倍薪资”","/语音识别/图像处理/深度学习/人工智能/","jiqixuexidata",2,"机器学习工程师（校招）","北京·望京","15k-30k","经验应届毕业生/本科","2天前发布","数美","企业服务,数据服务/B轮/150-500人","“快速发展，七险一金、薪酬给力，大牛导师”","/深度学习/","tuxiangchulidata",2,"图像处理工程师","福州·工业路","10k-20k","经验3-5年/大专","18:03发布","即合","移动互联网/不需要融资/15-50人","“五险一金，意外险，13-15年终奖”","/计算机视觉/","tuxiangshibiedata",2,"图像识别算法工程师","广州·天河区","8k-15k","经验1-3年/本科","13:46发布","广州暨嘉","硬件,其他/不需要融资/150-500人","“福利好,老板好,氛围好,人性化”","/模式识别/C++/Java/Python/","yuyinshibiedata",2,"1111UT-语音识别算法工程师（南京）","南京·雨花台区","12k-22k","经验3-5年/本科","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/金融/大数据/人工智能/","jiqishijuedata",2,"机器视觉和深度学习","成都·高新区","8k-12k","经验1-3年/本科","2天前发布","酷博","硬件,数据服务/不需要融资/150-500人","“核心岗位、前景好”","/图像处理/计算机视觉/人工智能/","suanfagongchengshidata",2,"算法工程师（动态定价）","上海·东外滩","20k-35k","经验1-3年/本科","11:43发布","达达-京东到家","O2O/D轮及以上/2000人以上","“技术驱动、核心算法”","/机器学习/深度学习/","ziranyuyanchulidata",2,"自然语言处理工程师","上海·杨浦区","30k-60k","经验3-5年/本科","14:00发布","英语流利说","移动互联网,教育/上市公司/2000人以上","“上市公司 人工智能 硅谷文化”","/人工智能/机器学习/NLP/算法/"
"3","shenduxuexidata",3,"深度学习算法工程师","北京·北京大学","30k-50k","经验3-5年/硕士","1天前发布","旷视科技","移动互联网,硬件/C轮/500-2000人","“人工智能”","/计算机视觉/图像处理/人工智能/机器学习/","jiqixuexidata",3,"机器学习系统工程师","深圳·宝安区","25k-50k","经验3-5年/本科","2019-03-15","vivo","移动互联网/未融资/2000人以上","“亿级用户，快速发展”","/C++/Java/Python/","tuxiangchulidata",3,"图像处理软件工程师","深圳·南山区","6k-10k","经验1-3年/本科","10:39发布","中安视达","移动互联网,医疗健康/未融资/15-50人","“机器学习、深度学习等相关算法”","/医疗健康/","tuxiangshibiedata",3,"图像识别工程师","北京·北下关","20k-40k","经验3-5年/硕士","18:49发布","会通教育","移动互联网,教育/A轮/150-500人","“核心产品、前景行业、氛围好、高额绩效奖”","/算法/图像处理/","yuyinshibiedata",3,"语音识别（智能催收）","杭州·仓前","25k-50k","经验3-5年/本科","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“技术大牛”","/人工智能/深度学习/NLP/模式识别/","jiqishijuedata",3,"机器视觉","东莞·东莞市市辖区","20k-40k","经验3-5年/硕士","16:41发布","博智林机器人公司","移动互联网,人工智能/上市公司/500-2000人","“高薪、高平台”","/人工智能/计算机视觉/图像处理/","suanfagongchengshidata",3,"112139-算法工程师","成都·锦江区","10k-20k","经验3-5年/本科","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/人工智能/机器学习/深度学习/计算机视觉/","ziranyuyanchulidata",3,"1111MK-自然语言处理工程师（南京）","南京·雨花台区","12k-22k","经验1-3年/硕士","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/大数据/金融/人工智能/NLP/"
"4","shenduxuexidata",4,"深度学习/机器视觉/图像算法工程师","杭州·西兴","10k-20k","经验不限/硕士","14:26发布","很赞科技","游戏/未融资/50-150人","“双休法定假日 五险一金 节日福利”","/图像处理/机器学习/模式识别/","jiqixuexidata",4,"机器学习研究员","北京·海淀区","35k-55k","经验3-5年/本科","1天前发布","联想集团","移动互联网,数据服务/上市公司/2000人以上","“国际化视野 良好的工作环境 完善福利”","/算法/推荐/深度学习/","tuxiangchulidata",4,"图像处理算法","杭州·仓前","15k-30k","经验3-5年/本科","1天前发布","智微信科","移动互联网,其他/天使轮/15-50人","“五险一金、餐补、股票期权”","/医疗健康/人工智能/深度学习/","tuxiangshibiedata",4,"图像识别/机器学习工程师","北京·朝阳区","15k-30k","经验3-5年/硕士","2019-03-14","苏宁体育","移动互联网,文化娱乐/不需要融资/2000人以上","“公司平台大，福利好”","/体育/C++/","yuyinshibiedata",4,"语音识别","上海·梅园","20k-40k","经验5-10年/硕士","2天前发布","硅基智能","移动互联网/B轮/150-500人","“节假日福利、绩效奖金、双休、免费午餐”","/人工智能/","jiqishijuedata",4,"机器视觉工程师","成都·武侯区","15k-30k","经验3-5年/本科","09:49发布","成都睿码科技有限责任公司（KANKAN AI）","移动互联网,数据服务/上市公司/150-500人","“六险一金、年底双薪、年终绩效、多重福利”","/C++/","suanfagongchengshidata",4,"算法工程师（图像识别）","深圳·福田区","15k-30k","经验3-5年/硕士","2天前发布","平安产险","移动互联网,金融/上市公司/2000人以上","“大平台,专业团队,高福利”","/人工智能/图像处理/","ziranyuyanchulidata",4,"NLP工程师（深圳）","深圳·宝安区","30k-60k","经验3-5年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“弹性工作,大数据平台,管理规范”","/年终分红/带薪年假/年度旅游/岗位晋升/"
"5","shenduxuexidata",5,"深度学习算法工程师实习生","上海·东外滩","6k-7k","经验应届毕业生/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“年终丰厚 全年技术交流不间断”","/人工智能/","jiqixuexidata",5,"机器学习算法工程师","厦门·思明区","20k-40k","经验不限/不限","1天前发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“人才引进房”","/带薪年假/午餐补助/领导好/扁平管理/","tuxiangchulidata",5,"图像算法","武汉·丁字桥","20k-30k","经验3-5年/本科","1天前发布","武汉爱尚科言信息科技有限公司","其他/不需要融资/15-50人","“六险一金 技术大牛”","/人工智能/图像处理/计算机视觉/机器学习/","tuxiangshibiedata",5,"企鹅号数据挖掘工程师-图像识别（深圳）","深圳·科技园","30k-60k","经验5-10年/硕士","2019-03-12","腾讯","移动互联网,游戏/上市公司/2000人以上","“福利好,平台大,薪酬高”","/算法/","yuyinshibiedata",5,"语音识别","北京·西直门","30k-50k","经验3-5年/硕士","2天前发布","Udesk－企业级智能客服平台","移动互联网,企业服务/C轮/150-500人","“团队强悍,待遇丰厚,数据规模”","/机器学习/算法/","jiqishijuedata",5,"机器视觉工程师","成都·高新区","18k-36k","经验3-5年/本科","13:08发布","大农科技","移动互联网/未融资/50-150人","“五险一金,年底双薪,弹性工作”","/人工智能/机器学习/深度学习/","suanfagongchengshidata",5,"算法工程师","厦门·思明区","15k-30k","经验3-5年/本科","17:51发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“五险一金,人才房,员工宿舍”","/新零售/机器学习/","ziranyuyanchulidata",5,"NLP工程师","北京·五道口","25k-40k","经验3-5年/硕士","17:11发布","秒针系统","数据服务,广告营销/D轮及以上/500-2000人","“福利待遇好 发展空间大”","/人工智能/"
"6","shenduxuexidata",6,"深度学习研究员","广州·官洲","20k-40k","经验3-5年/本科","2天前发布","广州柠都","企业服务/不需要融资/50-150人","“自动驾驶 福利好”","/汽车/移动互联网/机器学习/人工智能/数据挖掘/","jiqixuexidata",6,"机器学习算法工程师","杭州·滨江区","20k-38k","经验不限/硕士","12:07发布","R2.ai","人工智能/A轮/50-150人","“AI 美国公司”","/大数据/其他/人工智能/","tuxiangchulidata",6,"图像算法","武汉·中南路","18k-30k","经验3-5年/不限","13:56发布","卓尔电商集团","电子商务,金融/上市公司/500-2000人","“完善的福利，多样化职业发展机制”","/C/C++/","tuxiangshibiedata",6,"AI-图像识别工程师","武汉·关山","20k-30k","经验3-5年/本科","2019-03-12","时光小屋","移动互联网/B轮/15-50人","“五险一金 带薪年假 午餐补助”","/移动互联网/算法/图像处理/机器学习/模式识别/","yuyinshibiedata",6,"语音识别","北京·三元桥","18k-30k","经验不限/本科","2019-03-15","东芝(中国)有限公司","移动互联网,企业服务/上市公司/150-500人","“弹性工作、社内培训、出国机会、平台超棒”","/移动互联网/大数据/机器学习/深度学习/算法/","jiqishijuedata",6,"AI工程师-机器视觉","上海·长征","20k-35k","经验1-3年/本科","2天前发布","红星美凯龙","其他/上市公司/2000人以上","“美女如云 专业培训 下午茶零食 团建”","/人工智能/计算机视觉/","suanfagongchengshidata",6,"中高级算法工程师","上海·杨浦区","25k-50k","经验3-5年/本科","17:48发布","即刻","移动互联网/C轮/50-150人","“产品优秀,技术导向,技术氛围浓,福利超多”","/广告营销/机器学习/","ziranyuyanchulidata",6,"自然语言处理NLP工程师（聊天机器人）","上海·漕宝路","10k-20k","经验1-3年/本科","11:12发布","卓繁信息","企业服务,其他/不需要融资/150-500人","“年底双薪 带薪年假 领导nice”","/年底双薪/股票期权/专项奖金/节日礼物/"
"7","shenduxuexidata",7,"机器视觉和深度学习","成都·高新区","8k-12k","经验1-3年/本科","2天前发布","酷博","硬件,数据服务/不需要融资/150-500人","“核心岗位、前景好”","/图像处理/计算机视觉/人工智能/","jiqixuexidata",7,"机器学习算法工程师","北京·学院路","30k-50k","经验3-5年/硕士","1天前发布","慧安金科","人工智能,数据服务/A轮/50-150人","“六险一金 弹性工作 零食供应 免费早午餐”","/人工智能/建模/","tuxiangchulidata",7,"图像算法","上海·张江","25k-50k","经验3-5年/硕士","2天前发布","润铭科技","电子商务/不需要融资/150-500人","“14-16薪，团队nice，上升空间大”","/人工智能/图像处理/","tuxiangshibiedata",7,"图像识别算法工程师","成都·武侯区","15k-25k","经验3-5年/硕士","18:47发布","Veniibot机器人","其他,硬件/A轮/50-150人","“领导好,环境好,扁平化”","/机器学习/图像处理/模式识别/","yuyinshibiedata",7,"语音识别工程师","北京·海淀区","25k-50k","经验5-10年/本科","11:01发布","闪送","移动互联网/D轮及以上/500-2000人","“发展空间大,福利优厚,带薪年假,团队旅游”","/人工智能/","jiqishijuedata",7,"机器视觉系统开发工程师","重庆·鸳鸯","10k-15k","经验1-3年/硕士","10:29发布","轻推","移动互联网/不需要融资/150-500人","“世界500强央企 大平台”","/计算机视觉/机器学习/人工智能/","suanfagongchengshidata",7,"算法工程师","深圳·南山区","16k-26k","经验1-3年/本科","17:19发布","深信服科技集团","信息安全,企业服务/不需要融资/2000人以上","“福利好，待遇高，成长空间大”","/人工智能/深度学习/","ziranyuyanchulidata",7,"NLP自然语言处理工程师","北京·望京","15k-30k","经验1-3年/本科","19:09发布","布本智能","数据服务/A轮/15-50人","“待遇优厚,温馨团建,生日会,氛围活跃轻松”","/人工智能/算法/深度学习/"
"8","shenduxuexidata",8,"深度学习","北京·中关村","20k-40k","经验3-5年/本科","2天前发布","友鑫金融","金融/未融资/50-150人","“企业平台大，发展前景好”","/机器学习/NLP/图像处理/","jiqixuexidata",8,"测试开发工程师-计算机视觉/机器学习方向","上海·杨浦区","20k-40k","经验3-5年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“六险一金，弹性工作，带薪休假，休闲下午茶”","/扁平管理/弹性工作/大厨定制三餐/就近租房补贴/","tuxiangchulidata",8,"图像处理软件工程师","北京·南苑","13k-25k","经验不限/本科","3天前发布","北京博视智动","信息安全,数据服务/未融资/15-50人","“六险一金 年终奖 饭补 交通补 出差补助”","/人工智能/模式识别/","tuxiangshibiedata",8,"图像识别工程师","杭州·余杭区","20k-40k","经验1-3年/本科","1天前发布","数美","企业服务,数据服务/B轮/150-500人","“行业大咖,自由开放,Geek”","/机器学习/计算机视觉/图像处理/模式识别/","yuyinshibiedata",8,"语音识别工程师","深圳·科技园","30k-60k","经验不限/本科","16:29发布","无秘","移动互联网,金融/B轮/150-500人","“高速发展,团队优秀,待遇丰厚”","/教育/移动互联网/语音合成/模式识别/算法/","jiqishijuedata",8,"机器视觉开发工程师","深圳·坂田","10k-20k","经验不限/本科","10:00发布","小鱼易连","移动互联网/B轮/150-500人","“餐饮补贴,通讯补贴,五险一金,弹性工作”","/机器学习/深度学习/","suanfagongchengshidata",8,"算法工程师（机器学习方向）","广州·越秀区","15k-30k","经验1-3年/本科","17:33发布","筷子科技","数据服务,广告营销/B轮/50-150人","“创新,人工智能,平台好,氛围好”","/NLP/人工智能/","ziranyuyanchulidata",8,"自然语言处理研究员","深圳·前海","25k-50k","经验3-5年/硕士","1天前发布","商汤科技","移动互联网/C轮/2000人以上","“深入研究”","/NLP/"
"9","shenduxuexidata",9,"深度学习算法工程师（可实习）","南京·秦淮区","15k-20k","经验1-3年/本科","2天前发布","积图科技","移动互联网/未融资/15-50人","“五险一金、双休、年终奖金、带薪年假等等”","/计算机视觉/图像处理/模式识别/","jiqixuexidata",9,"机器学习平台工程师","北京·北京大学","25k-30k","经验3-5年/本科","11:16发布","Yeahmobi","移动互联网/上市公司/150-500人","“上市公司，扁平化管理，弹性工作，丰厚提成”","/大数据/Hadoop/Spark/Hive/Java/","tuxiangchulidata",9,"图像和多媒体算法实习生","北京·海淀区","6k-8k","经验不限/硕士","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，租房补贴，休闲下午茶”","/图像处理/图形处理/","tuxiangshibiedata",9,"资深图像识别算法工程师","广州·鱼珠","25k-50k","经验5-10年/本科","09:57发布","云徙科技","数据服务,移动互联网/A轮/500-2000人","“快速晋升,A轮融资,周末双休,福利健全”","/图像处理/人工智能/","yuyinshibiedata",9,"语音识别工程师","上海·徐家汇","20k-40k","经验不限/硕士","15:34发布","乐言科技","企业服务/B轮/150-500人","“业界顶尖团队 早期期权”","/人工智能/机器学习/深度学习/","jiqishijuedata",9,"机器视觉软件研发工程师","上海·徐家汇","25k-50k","经验3-5年/硕士","2019-03-15","媒智科技","移动互联网/A轮/15-50人","“机器视觉,深度学习,人性化,股票期权”","/视频/计算机视觉/算法/","suanfagongchengshidata",9,"算法工程师","上海·杨浦区","25k-40k","经验1-3年/本科","16:46发布","信用算力","移动互联网,金融/B轮/150-500人","“晋升快，福利好，美女多”","/年底双薪/股票期权/带薪年假/绩效奖金/","ziranyuyanchulidata",9,"搜索与NLP部-工程技术负责人","北京·""""","50k-80k","经验5-10年/本科","2天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“平台大，发展好，福利赞”","/项目管理/"
"10","shenduxuexidata",10,"深度学习算法工程师","北京·小关","40k-70k","经验1-3年/本科","2天前发布","台州市黄岩盈美塑业有限公司","移动互联网/C轮/500-2000人","“技术团队近300人，团队来自BAT成员”","/人工智能/","jiqixuexidata",10,"算法工程师机器学习方向","广州·体育中心","10k-20k","经验3-5年/本科","2天前发布","通付盾","移动互联网,金融/不需要融资/50-150人","“五险一金，节假日福利”","/人工智能/深度学习/图像处理/","tuxiangchulidata",10,"高级PYTHON工程师-图像处理","深圳·上梅林","18k-32k","经验3-5年/本科","1天前发布","深圳澳谷智能科技有限公司","其他/A轮/少于15人","“国际化企业 优秀的管理团队”","/硬件制造/人工智能/","tuxiangshibiedata",10,"图像识别工程师","哈尔滨·平房区","8k-12k","经验1-3年/硕士","2019-03-12","科佳通用机电","硬件,电子商务/未融资/150-500人","“五险一金，周末双休，加班工资，年终奖金”","/图像处理/模式识别/深度学习/算法/","yuyinshibiedata",10,"语音识别工程师","北京·牡丹园","30k-50k","经验1-3年/本科","2019-03-14","伴鱼口语","移动互联网/C轮/500-2000人","“产品牛、五险一金、租房补助”","/教育/机器学习/","jiqishijuedata",10,"机器视觉研发高级工程师（人工智能研究院）","北京·北京大学","20k-30k","经验3-5年/本科","18:44发布","迈外迪","移动互联网,O2O/D轮及以上/150-500人","“中关村上班,团队氛围好,技术新”","/计算机视觉/机器学习/深度学习/算法/","suanfagongchengshidata",10,"100023-资深算法工程师","北京·朝阳区","30k-45k","经验3-5年/硕士","18:21发布","Mobvista","移动互联网/上市公司/500-2000人","“股票期权,大牛多,包四餐,福利好”","/优秀团队/节日礼物/股票期权/带薪年假/","ziranyuyanchulidata",10,"NLP实习生","上海·漕河泾","4k-5k","经验应届毕业生/本科","1天前发布","数旦信息","移动互联网,金融/A轮/15-50人","“转正机会,高福利,学习机会,金融科技”","/人工智能/算法/"
