"","x"
"1","移动互联网"
"2","移动互联网"
"3","移动互联网"
"4","硬件"
"5","游戏"
"6","金融"
"7","企业服务"
"8","硬件"
"9","数据服务"
"10","金融"
"11","移动互联网"
"12","移动互联网"
"13","移动互联网"
"14","数据服务"
"15","人工智能"
"16","移动互联网"
"17","金融"
"18","移动互联网"
"19","金融"
"20","移动互联网"
"21","游戏"
"22","移动互联网"
"23","移动互联网"
"24","硬件"
"25","金融"
"26","移动互联网"
"27","金融"
"28","O2O"
"29","硬件"
"30","移动互联网"
"31","硬件"
"32","移动互联网"
"33","企业服务"
"34","硬件"
"35","其他"
"36","数据服务"
"37","文化娱乐"
"38","移动互联网"
"39","移动互联网"
"40","游戏"
"41","移动互联网"
"42","移动互联网"
"43","移动互联网"
"44","企业服务"
"45","移动互联网"
"46","金融"
"47","移动互联网"
"48","移动互联网"
"49","人工智能"
"50","电子商务"
"51","移动互联网"
"52","移动互联网"
"53","数据服务"
"54","移动互联网"
"55","企业服务"
"56","数据服务"
"57","硬件"
"58","移动互联网"
"59","数据服务"
"60","广告营销"
"61","移动互联网"
"62","社交网络"
"63","移动互联网"
"64","游戏"
"65","移动互联网"
"66","O2O"
"67","移动互联网"
"68","企业服务"
"69","信息安全"
"70","数据服务"
"71","移动互联网"
"72","硬件"
"73","移动互联网"
"74","硬件"
"75","数据服务"
"76","医疗健康"
"77","数据服务"
"78","移动互联网"
"79","人工智能"
"80","移动互联网"
"81","移动互联网"
"82","移动互联网"
"83","O2O"
"84","数据服务区块链"
"85","移动互联网"
"86","移动互联网"
"87","移动互联网"
"88","移动互联网"
"89","医疗健康"
"90","移动互联网"
"91","生活服务"
"92","医疗健康"
"93","数据服务"
"94","移动互联网"
"95","人工智能"
"96","移动互联网"
"97","移动互联网"
"98","移动互联网"
"99","电子商务"
"100","医疗健康"
"101","数据服务"
"102","其他"
"103","人工智能"
"104","移动互联网"
"105","医疗健康"
"106","移动互联网"
"107","硬件"
"108","医疗健康"
"109","人工智能"
"110","移动互联网医疗健康"
"111","移动互联网"
"112","电子商务"
"113","医疗健康"
"114","数据服务"
"115","医疗健康"
"116","数据服务"
"117","硬件"
"118","数据服务"
"119","移动互联网"
"120","人工智能"
"121","移动互联网"
"122","教育"
"123","医疗健康"
"124","移动互联网"
"125","移动互联网"
"126","数据服务"
"127","移动互联网"
"128","信息安全"
"129","硬件"
"130","移动互联网"
"131","数据服务"
"132","社交网络"
"133","移动互联网"
"134","数据服务"
"135","移动互联网"
"136","企业服务"
"137","数据服务"
"138","硬件"
"139","移动互联网"
"140","生活服务"
"141","移动互联网"
"142","移动互联网"
"143","数据服务"
"144","移动互联网"
"145","社交网络"
"146","医疗健康"
"147","移动互联网"
"148","数据服务"
"149","移动互联网"
"150","电子商务"
"151","移动互联网"
"152","O2O"
"153","人工智能"
"154","医疗健康"
"155","人工智能"
"156","电子商务"
"157","移动互联网"
"158","数据服务"
"159","广告营销"
"160","移动互联网"
"161","数据服务"
"162","社交网络"
"163","移动互联网"
"164","硬件"
"165","企业服务"
"166","数据服务"
"167","移动互联网"
"168","教育"
"169","移动互联网"
"170","数据服务"
"171","医疗健康"
"172","电子商务"
"173","移动互联网"
"174","电子商务"
"175","移动互联网"
"176","人工智能"
"177","移动互联网"
"178","金融"
"179","移动互联网"
"180","O2O"
"181","企业服务"
"182","数据服务"
"183","数据服务"
"184","人工智能"
"185","移动互联网"
"186","数据服务"
"187","企业服务"
"188","数据服务"
"189","移动互联网"
"190","数据服务"
"191","电子商务"
"192","移动互联网电子商务"
"193","移动互联网"
"194","医疗健康"
"195","企业服务"
"196","数据服务"
"197","信息安全"
"198","数据服务"
"199","医疗健康"
"200","数据服务"
"201","数据服务"
"202","其他"
"203","数据服务"
"204","硬件"
