"","belong","serial","name","city","district","lowsalary","highsalary","experience","degree","time","company","companyintroduction","companyfield","companyfinancial","companymembers","tags","belong.1","serial.1","name.1","city.1","district.1","lowsalary.1","highsalary.1","experience.1","degree.1","time.1","company.1","companyintroduction.1","companyfield.1","companyfinancial.1","companymembers.1","tags.1","belong.2","serial.2","name.2","city.2","district.2","lowsalary.2","highsalary.2","experience.2","degree.2","time.2","company.2","companyintroduction.2","companyfield.2","companyfinancial.2","companymembers.2","tags.2","belong.3","serial.3","name.3","city.3","district.3","lowsalary.3","highsalary.3","experience.3","degree.3","time.3","company.3","companyintroduction.3","companyfield.3","companyfinancial.3","companymembers.3","tags.3","belong.4","serial.4","name.4","city.4","district.4","lowsalary.4","highsalary.4","experience.4","degree.4","time.4","company.4","companyintroduction.4","companyfield.4","companyfinancial.4","companymembers.4","tags.4","belong.5","serial.5","name.5","city.5","district.5","lowsalary.5","highsalary.5","experience.5","degree.5","time.5","company.5","companyintroduction.5","companyfield.5","companyfinancial.5","companymembers.5","tags.5","belong.6","serial.6","name.6","city.6","district.6","lowsalary.6","highsalary.6","experience.6","degree.6","time.6","company.6","companyintroduction.6","companyfield.6","companyfinancial.6","companymembers.6","tags.6","belong.7","serial.7","name.7","city.7","district.7","lowsalary.7","highsalary.7","experience.7","degree.7","time.7","company.7","companyintroduction.7","companyfield.7","companyfinancial.7","companymembers.7","tags.7"
"1","shenduxuexidata",1,"深度学习算法工程师","深圳","宝安区",25,50,"经验1-3年","本科","17976","vivo","“扁平化，发展快，千万日活”","移动互联网","未融资","2000人以上","/NLP/图像处理/","jiqixuexidata",1,"搜索算法-机器学习方向","上海","长宁区",30,60,"经验3-5年","硕士","17975","拼多多","“拼多多”","电子商务,移动互联网","上市公司","2000人以上","/电商/","tuxiangchulidata",1,"图像处理工程师","深圳","上梅林",40,60,"经验5-10年","不限","17975","vivo","“千万级用户、股票激励、福利待遇好”","移动互联网","未融资","2000人以上","/通信/网络设备/","tuxiangshibiedata",1,"暑期实习生-算法工程师--图像识别(J10176)","上海","闵行区",4,6,"经验应届毕业生","本科","17976","哈啰出行","“转正留用机会，互联网，出行”","移动互联网,硬件","D轮及以上","2000人以上","/人工智能/图像处理/","yuyinshibiedata",1,"语音识别与多轮交互算法工程师","北京","西北旺",15,25,"经验应届毕业生","硕士","17976","Aibee","“股权激励,顶尖团队”","移动互联网,企业服务","A轮","150-500人","/人工智能/","jiqishijuedata",1,"深度学习/机器视觉/图像算法工程师","杭州","西兴",10,20,"经验不限","硕士","17976","很赞科技","“双休法定假日 五险一金 节日福利”","游戏","未融资","50-150人","/图像处理/机器学习/模式识别/","suanfagongchengshidata",1,"推荐算法专家","北京","东四",30,50,"经验3-5年","硕士","17975","Keep","“年底多薪,七险一金,三餐+零食,周末双休”","社交网络,文化娱乐","D轮及以上","500-2000人","/机器学习/搜索/深度学习/","ziranyuyanchulidata",1,"NLP","北京","海淀区",40,80,"经验5-10年","硕士","17976","联想集团","“联想正式编制、饭补”","移动互联网,数据服务","上市公司","2000人以上","/人工智能/机器学习/算法/"
"2","shenduxuexidata",2,"机器学习","北京","酒仙桥",20,35,"经验应届毕业生","本科","17976","武汉朝城","“全额六险一金，如果周末加班双倍薪资”","移动互联网","未融资","50-150人","/语音识别/图像处理/深度学习/人工智能/","jiqixuexidata",2,"机器学习工程师（校招）","北京","望京",15,30,"经验应届毕业生","本科","17974","数美","“快速发展，七险一金、薪酬给力，大牛导师”","企业服务,数据服务","B轮","150-500人","/深度学习/","tuxiangchulidata",2,"图像处理工程师","福州","工业路",10,20,"经验3-5年","大专","17976","即合","“五险一金，意外险，13-15年终奖”","移动互联网","不需要融资","15-50人","/计算机视觉/","tuxiangshibiedata",2,"图像识别算法工程师","广州","天河区",8,15,"经验1-3年","本科","17976","广州暨嘉","“福利好,老板好,氛围好,人性化”","硬件,其他","不需要融资","150-500人","/模式识别/C++/Java/Python/","yuyinshibiedata",2,"1111UT-语音识别算法工程师（南京）","南京","雨花台区",12,22,"经验3-5年","本科","17976","平安科技","“五险一金,绩效奖金,带薪年假,定期体检”","金融","不需要融资","2000人以上","/金融/大数据/人工智能/","jiqishijuedata",2,"机器视觉和深度学习","成都","高新区",8,12,"经验1-3年","本科","17974","酷博","“核心岗位、前景好”","硬件,数据服务","不需要融资","150-500人","/图像处理/计算机视觉/人工智能/","suanfagongchengshidata",2,"算法工程师（动态定价）","上海","东外滩",20,35,"经验1-3年","本科","17976","达达-京东到家","“技术驱动、核心算法”","O2O","D轮及以上","2000人以上","/机器学习/深度学习/","ziranyuyanchulidata",2,"自然语言处理工程师","上海","杨浦区",30,60,"经验3-5年","本科","17976","英语流利说","“上市公司 人工智能 硅谷文化”","移动互联网,教育","上市公司","2000人以上","/人工智能/机器学习/NLP/算法/"
"3","shenduxuexidata",3,"深度学习算法工程师","北京","北京大学",30,50,"经验3-5年","硕士","17975","旷视科技","“人工智能”","移动互联网,硬件","C轮","500-2000人","/计算机视觉/图像处理/人工智能/机器学习/","jiqixuexidata",3,"机器学习系统工程师","深圳","宝安区",25,50,"经验3-5年","本科","2019-03-15","vivo","“亿级用户，快速发展”","移动互联网","未融资","2000人以上","/C++/Java/Python/","tuxiangchulidata",3,"图像处理软件工程师","深圳","南山区",6,10,"经验1-3年","本科","17976","中安视达","“机器学习、深度学习等相关算法”","移动互联网,医疗健康","未融资","15-50人","/医疗健康/","tuxiangshibiedata",3,"图像识别工程师","北京","北下关",20,40,"经验3-5年","硕士","17976","会通教育","“核心产品、前景行业、氛围好、高额绩效奖”","移动互联网,教育","A轮","150-500人","/算法/图像处理/","yuyinshibiedata",3,"语音识别（智能催收）","杭州","仓前",25,50,"经验3-5年","本科","17976","同盾科技","“技术大牛”","信息安全,数据服务","C轮","500-2000人","/人工智能/深度学习/NLP/模式识别/","jiqishijuedata",3,"机器视觉","东莞","东莞市市辖区",20,40,"经验3-5年","硕士","17976","博智林机器人公司","“高薪、高平台”","移动互联网,人工智能","上市公司","500-2000人","/人工智能/计算机视觉/图像处理/","suanfagongchengshidata",3,"112139-算法工程师","成都","锦江区",10,20,"经验3-5年","本科","17976","平安科技","“五险一金,绩效奖金,带薪年假,定期体检”","金融","不需要融资","2000人以上","/人工智能/机器学习/深度学习/计算机视觉/","ziranyuyanchulidata",3,"1111MK-自然语言处理工程师（南京）","南京","雨花台区",12,22,"经验1-3年","硕士","17976","平安科技","“五险一金,绩效奖金,带薪年假,定期体检”","金融","不需要融资","2000人以上","/大数据/金融/人工智能/NLP/"
"4","shenduxuexidata",4,"深度学习/机器视觉/图像算法工程师","杭州","西兴",10,20,"经验不限","硕士","17976","很赞科技","“双休法定假日 五险一金 节日福利”","游戏","未融资","50-150人","/图像处理/机器学习/模式识别/","jiqixuexidata",4,"机器学习研究员","北京","海淀区",35,55,"经验3-5年","本科","17975","联想集团","“国际化视野 良好的工作环境 完善福利”","移动互联网,数据服务","上市公司","2000人以上","/算法/推荐/深度学习/","tuxiangchulidata",4,"图像处理算法","杭州","仓前",15,30,"经验3-5年","本科","17975","智微信科","“五险一金、餐补、股票期权”","移动互联网,其他","天使轮","15-50人","/医疗健康/人工智能/深度学习/","tuxiangshibiedata",4,"图像识别/机器学习工程师","北京","朝阳区",15,30,"经验3-5年","硕士","2019-03-14","苏宁体育","“公司平台大，福利好”","移动互联网,文化娱乐","不需要融资","2000人以上","/体育/C++/","yuyinshibiedata",4,"语音识别","上海","梅园",20,40,"经验5-10年","硕士","17974","硅基智能","“节假日福利、绩效奖金、双休、免费午餐”","移动互联网","B轮","150-500人","/人工智能/","jiqishijuedata",4,"机器视觉工程师","成都","武侯区",15,30,"经验3-5年","本科","17976","成都睿码科技有限责任公司（KANKAN AI）","“六险一金、年底双薪、年终绩效、多重福利”","移动互联网,数据服务","上市公司","150-500人","/C++/","suanfagongchengshidata",4,"算法工程师（图像识别）","深圳","福田区",15,30,"经验3-5年","硕士","17974","平安产险","“大平台,专业团队,高福利”","移动互联网,金融","上市公司","2000人以上","/人工智能/图像处理/","ziranyuyanchulidata",4,"NLP工程师（深圳）","深圳","宝安区",30,60,"经验3-5年","本科","17976","vivo","“弹性工作,大数据平台,管理规范”","移动互联网","未融资","2000人以上","/年终分红/带薪年假/年度旅游/岗位晋升/"
"5","shenduxuexidata",5,"深度学习算法工程师实习生","上海","东外滩",6,7,"经验应届毕业生","硕士","17974","平安科技","“年终丰厚 全年技术交流不间断”","金融","不需要融资","2000人以上","/人工智能/","jiqixuexidata",5,"机器学习算法工程师","厦门","思明区",20,40,"经验不限","不限","17975","瑞幸咖啡","“人才引进房”","移动互联网,O2O","B轮","2000人以上","/带薪年假/午餐补助/领导好/扁平管理/","tuxiangchulidata",5,"图像算法","武汉","丁字桥",20,30,"经验3-5年","本科","17975","武汉爱尚科言信息科技有限公司","“六险一金 技术大牛”","其他","不需要融资","15-50人","/人工智能/图像处理/计算机视觉/机器学习/","tuxiangshibiedata",5,"企鹅号数据挖掘工程师-图像识别（深圳）","深圳","科技园",30,60,"经验5-10年","硕士","2019-03-12","腾讯","“福利好,平台大,薪酬高”","移动互联网,游戏","上市公司","2000人以上","/算法/","yuyinshibiedata",5,"语音识别","北京","西直门",30,50,"经验3-5年","硕士","17974","Udesk－企业级智能客服平台","“团队强悍,待遇丰厚,数据规模”","移动互联网,企业服务","C轮","150-500人","/机器学习/算法/","jiqishijuedata",5,"机器视觉工程师","成都","高新区",18,36,"经验3-5年","本科","17976","大农科技","“五险一金,年底双薪,弹性工作”","移动互联网","未融资","50-150人","/人工智能/机器学习/深度学习/","suanfagongchengshidata",5,"算法工程师","厦门","思明区",15,30,"经验3-5年","本科","17976","瑞幸咖啡","“五险一金,人才房,员工宿舍”","移动互联网,O2O","B轮","2000人以上","/新零售/机器学习/","ziranyuyanchulidata",5,"NLP工程师","北京","五道口",25,40,"经验3-5年","硕士","17976","秒针系统","“福利待遇好 发展空间大”","数据服务,广告营销","D轮及以上","500-2000人","/人工智能/"
"6","shenduxuexidata",6,"深度学习研究员","广州","官洲",20,40,"经验3-5年","本科","17974","广州柠都","“自动驾驶 福利好”","企业服务","不需要融资","50-150人","/汽车/移动互联网/机器学习/人工智能/数据挖掘/","jiqixuexidata",6,"机器学习算法工程师","杭州","滨江区",20,38,"经验不限","硕士","17976","R2.ai","“AI 美国公司”","人工智能","A轮","50-150人","/大数据/其他/人工智能/","tuxiangchulidata",6,"图像算法","武汉","中南路",18,30,"经验3-5年","不限","17976","卓尔电商集团","“完善的福利，多样化职业发展机制”","电子商务,金融","上市公司","500-2000人","/C/C++/","tuxiangshibiedata",6,"AI-图像识别工程师","武汉","关山",20,30,"经验3-5年","本科","2019-03-12","时光小屋","“五险一金 带薪年假 午餐补助”","移动互联网","B轮","15-50人","/移动互联网/算法/图像处理/机器学习/模式识别/","yuyinshibiedata",6,"语音识别","北京","三元桥",18,30,"经验不限","本科","2019-03-15","东芝(中国)有限公司","“弹性工作、社内培训、出国机会、平台超棒”","移动互联网,企业服务","上市公司","150-500人","/移动互联网/大数据/机器学习/深度学习/算法/","jiqishijuedata",6,"AI工程师-机器视觉","上海","长征",20,35,"经验1-3年","本科","17974","红星美凯龙","“美女如云 专业培训 下午茶零食 团建”","其他","上市公司","2000人以上","/人工智能/计算机视觉/","suanfagongchengshidata",6,"中高级算法工程师","上海","杨浦区",25,50,"经验3-5年","本科","17976","即刻","“产品优秀,技术导向,技术氛围浓,福利超多”","移动互联网","C轮","50-150人","/广告营销/机器学习/","ziranyuyanchulidata",6,"自然语言处理NLP工程师（聊天机器人）","上海","漕宝路",10,20,"经验1-3年","本科","17976","卓繁信息","“年底双薪 带薪年假 领导nice”","企业服务,其他","不需要融资","150-500人","/年底双薪/股票期权/专项奖金/节日礼物/"
"7","shenduxuexidata",7,"机器视觉和深度学习","成都","高新区",8,12,"经验1-3年","本科","17974","酷博","“核心岗位、前景好”","硬件,数据服务","不需要融资","150-500人","/图像处理/计算机视觉/人工智能/","jiqixuexidata",7,"机器学习算法工程师","北京","学院路",30,50,"经验3-5年","硕士","17975","慧安金科","“六险一金 弹性工作 零食供应 免费早午餐”","人工智能,数据服务","A轮","50-150人","/人工智能/建模/","tuxiangchulidata",7,"图像算法","上海","张江",25,50,"经验3-5年","硕士","17974","润铭科技","“14-16薪，团队nice，上升空间大”","电子商务","不需要融资","150-500人","/人工智能/图像处理/","tuxiangshibiedata",7,"图像识别算法工程师","成都","武侯区",15,25,"经验3-5年","硕士","17976","Veniibot机器人","“领导好,环境好,扁平化”","其他,硬件","A轮","50-150人","/机器学习/图像处理/模式识别/","yuyinshibiedata",7,"语音识别工程师","北京","海淀区",25,50,"经验5-10年","本科","17976","闪送","“发展空间大,福利优厚,带薪年假,团队旅游”","移动互联网","D轮及以上","500-2000人","/人工智能/","jiqishijuedata",7,"机器视觉系统开发工程师","重庆","鸳鸯",10,15,"经验1-3年","硕士","17976","轻推","“世界500强央企 大平台”","移动互联网","不需要融资","150-500人","/计算机视觉/机器学习/人工智能/","suanfagongchengshidata",7,"算法工程师","深圳","南山区",16,26,"经验1-3年","本科","17976","深信服科技集团","“福利好，待遇高，成长空间大”","信息安全,企业服务","不需要融资","2000人以上","/人工智能/深度学习/","ziranyuyanchulidata",7,"NLP自然语言处理工程师","北京","望京",15,30,"经验1-3年","本科","17976","布本智能","“待遇优厚,温馨团建,生日会,氛围活跃轻松”","数据服务","A轮","15-50人","/人工智能/算法/深度学习/"
"8","shenduxuexidata",8,"深度学习","北京","中关村",20,40,"经验3-5年","本科","17974","友鑫金融","“企业平台大，发展前景好”","金融","未融资","50-150人","/机器学习/NLP/图像处理/","jiqixuexidata",8,"测试开发工程师-计算机视觉/机器学习方向","上海","杨浦区",20,40,"经验3-5年","本科","17975","字节跳动","“六险一金，弹性工作，带薪休假，休闲下午茶”","移动互联网,数据服务","C轮","2000人以上","/扁平管理/弹性工作/大厨定制三餐/就近租房补贴/","tuxiangchulidata",8,"图像处理软件工程师","北京","南苑",13,25,"经验不限","本科","17973","北京博视智动","“六险一金 年终奖 饭补 交通补 出差补助”","信息安全,数据服务","未融资","15-50人","/人工智能/模式识别/","tuxiangshibiedata",8,"图像识别工程师","杭州","余杭区",20,40,"经验1-3年","本科","17975","数美","“行业大咖,自由开放,Geek”","企业服务,数据服务","B轮","150-500人","/机器学习/计算机视觉/图像处理/模式识别/","yuyinshibiedata",8,"语音识别工程师","深圳","科技园",30,60,"经验不限","本科","17976","无秘","“高速发展,团队优秀,待遇丰厚”","移动互联网,金融","B轮","150-500人","/教育/移动互联网/语音合成/模式识别/算法/","jiqishijuedata",8,"机器视觉开发工程师","深圳","坂田",10,20,"经验不限","本科","17976","小鱼易连","“餐饮补贴,通讯补贴,五险一金,弹性工作”","移动互联网","B轮","150-500人","/机器学习/深度学习/","suanfagongchengshidata",8,"算法工程师（机器学习方向）","广州","越秀区",15,30,"经验1-3年","本科","17976","筷子科技","“创新,人工智能,平台好,氛围好”","数据服务,广告营销","B轮","50-150人","/NLP/人工智能/","ziranyuyanchulidata",8,"自然语言处理研究员","深圳","前海",25,50,"经验3-5年","硕士","17975","商汤科技","“深入研究”","移动互联网","C轮","2000人以上","/NLP/"
"9","shenduxuexidata",9,"深度学习算法工程师（可实习）","南京","秦淮区",15,20,"经验1-3年","本科","17974","积图科技","“五险一金、双休、年终奖金、带薪年假等等”","移动互联网","未融资","15-50人","/计算机视觉/图像处理/模式识别/","jiqixuexidata",9,"机器学习平台工程师","北京","北京大学",25,30,"经验3-5年","本科","17976","Yeahmobi","“上市公司，扁平化管理，弹性工作，丰厚提成”","移动互联网","上市公司","150-500人","/大数据/Hadoop/Spark/Hive/Java/","tuxiangchulidata",9,"图像和多媒体算法实习生","北京","海淀区",6,8,"经验不限","硕士","17975","字节跳动","“弹性工作，免费三餐，租房补贴，休闲下午茶”","移动互联网,数据服务","C轮","2000人以上","/图像处理/图形处理/","tuxiangshibiedata",9,"资深图像识别算法工程师","广州","鱼珠",25,50,"经验5-10年","本科","17976","云徙科技","“快速晋升,A轮融资,周末双休,福利健全”","数据服务,移动互联网","A轮","500-2000人","/图像处理/人工智能/","yuyinshibiedata",9,"语音识别工程师","上海","徐家汇",20,40,"经验不限","硕士","17976","乐言科技","“业界顶尖团队 早期期权”","企业服务","B轮","150-500人","/人工智能/机器学习/深度学习/","jiqishijuedata",9,"机器视觉软件研发工程师","上海","徐家汇",25,50,"经验3-5年","硕士","2019-03-15","媒智科技","“机器视觉,深度学习,人性化,股票期权”","移动互联网","A轮","15-50人","/视频/计算机视觉/算法/","suanfagongchengshidata",9,"算法工程师","上海","杨浦区",25,40,"经验1-3年","本科","17976","信用算力","“晋升快，福利好，美女多”","移动互联网,金融","B轮","150-500人","/年底双薪/股票期权/带薪年假/绩效奖金/","ziranyuyanchulidata",9,"搜索与NLP部-工程技术负责人","北京","""""",50,80,"经验5-10年","本科","17974","美团点评","“平台大，发展好，福利赞”","移动互联网,O2O","上市公司","2000人以上","/项目管理/"
"10","shenduxuexidata",10,"深度学习算法工程师","北京","小关",40,70,"经验1-3年","本科","17974","台州市黄岩盈美塑业有限公司","“技术团队近300人，团队来自BAT成员”","移动互联网","C轮","500-2000人","/人工智能/","jiqixuexidata",10,"算法工程师机器学习方向","广州","体育中心",10,20,"经验3-5年","本科","17974","通付盾","“五险一金，节假日福利”","移动互联网,金融","不需要融资","50-150人","/人工智能/深度学习/图像处理/","tuxiangchulidata",10,"高级PYTHON工程师-图像处理","深圳","上梅林",18,32,"经验3-5年","本科","17975","深圳澳谷智能科技有限公司","“国际化企业 优秀的管理团队”","其他","A轮","少于15人","/硬件制造/人工智能/","tuxiangshibiedata",10,"图像识别工程师","哈尔滨","平房区",8,12,"经验1-3年","硕士","2019-03-12","科佳通用机电","“五险一金，周末双休，加班工资，年终奖金”","硬件,电子商务","未融资","150-500人","/图像处理/模式识别/深度学习/算法/","yuyinshibiedata",10,"语音识别工程师","北京","牡丹园",30,50,"经验1-3年","本科","2019-03-14","伴鱼口语","“产品牛、五险一金、租房补助”","移动互联网","C轮","500-2000人","/教育/机器学习/","jiqishijuedata",10,"机器视觉研发高级工程师（人工智能研究院）","北京","北京大学",20,30,"经验3-5年","本科","17976","迈外迪","“中关村上班,团队氛围好,技术新”","移动互联网,O2O","D轮及以上","150-500人","/计算机视觉/机器学习/深度学习/算法/","suanfagongchengshidata",10,"100023-资深算法工程师","北京","朝阳区",30,45,"经验3-5年","硕士","17976","Mobvista","“股票期权,大牛多,包四餐,福利好”","移动互联网","上市公司","500-2000人","/优秀团队/节日礼物/股票期权/带薪年假/","ziranyuyanchulidata",10,"NLP实习生","上海","漕河泾",4,5,"经验应届毕业生","本科","17975","数旦信息","“转正机会,高福利,学习机会,金融科技”","移动互联网,金融","A轮","15-50人","/人工智能/算法/"
